COL TID VAL 0COL TID_l VAL 15054 COL title_l VAL Sweet Lady Genevieve COL artist_l VAL The Kinks	COL TID_r VAL 15054 COL title_r VAL Sweet Lady Genevieve COL artist_r VAL The Kinks 	 1
COL TID VAL 21COL TID_l VAL 14640 COL title_l VAL Merlins Madness (no choir) (AdvKenture 2) COL artist_l VAL Rhett Nelson	COL TID_r VAL 14640 COL title_r VAL Merlins Madness (no choir) (AdvKenture 2) COL artist_r VAL Rhett Nelson 	 1
COL TID VAL 22COL TID_l VAL 4591 COL title_l VAL Peggy Sue Got Married COL artist_l VAL Buddy Holly	COL TID_r VAL 821 COL title_r VAL Girl on My Mind (The Very Best of Buddy Holly and the Crickets) COL artist_r VAL Buddy Holly 	 0
COL TID VAL 23COL TID_l VAL 9392 COL title_l VAL They Will Hate You (From Border to Line mix) COL artist_l VAL Nin Kuji	COL TID_r VAL 9392 COL title_r VAL They Will Hate You (From Border to Line mix) COL artist_r VAL Nin Kuji 	 1
COL TID VAL 24COL TID_l VAL 16097 COL title_l VAL La ultima copa - 20 grandes éxitos COL artist_l VAL Jorge Falcón	COL TID_r VAL 16097 COL title_r VAL La ultima copa - 20 grandes éxitos COL artist_r VAL Jorge Falcón 	 1
COL TID VAL 25COL TID_l VAL 219 COL title_l VAL When the Summer Is Gone - I Can Jive - Det Bästa Med Jerry Williams COL artist_l VAL Jerry Williams	COL TID_r VAL 17553 COL title_r VAL Done at Last (short) (Rises & Endings 1: Short) COL artist_r VAL Jerry Williams 	 0
COL TID VAL 26COL TID_l VAL 14979 COL title_l VAL Chandelier Of Stars (The Platinum Collection) COL artist_l VAL John Williamson	COL TID_r VAL 17348 COL title_r VAL Chandelier Of Stars COL artist_r VAL John Williamson 	 1
COL TID VAL 27COL TID_l VAL 10408 COL title_l VAL Xodó da Mãe (No Mexe Mexe, No Bole Bole) COL artist_l VAL Dudu Nobre	COL TID_r VAL 14190 COL title_r VAL Xodó da Mãe - No Mexe Mexe, No Bole Bole COL artist_r VAL Dudu Nobre 	 1
COL TID VAL 28COL TID_l VAL 6699 COL title_l VAL I Started a Joke COL artist_l VAL Faith No More	COL TID_r VAL 18707 COL title_r VAL Gentle Art of Making Enemies (2009-06-10: The Second Coming : Brixton Academy, London, UK) COL artist_r VAL Faith No More 	 0
COL TID VAL 29COL TID_l VAL 8864 COL title_l VAL 004-Just COL artist_l VAL Radiohead	COL TID_r VAL 1604 COL title_r VAL Everything in Its Right Place (2002-08-02: Benicassim Festival, Benicassim, Spain) COL artist_r VAL Radiohead 	 0
COL TID VAL 30COL TID_l VAL 5844 COL title_l VAL Gloomy Sunday COL artist_l VAL Billie Holiday	COL TID_r VAL 1466 COL title_r VAL Gloomy Sunday (An Introduction to Billie Holiday: Her Best Recordings 1935-1942) COL artist_r VAL Billie Holiday 	 1
COL TID VAL 31COL TID_l VAL 10568 COL title_l VAL Concerto-for-Piano-No.-20-in-D-minor,-K.-466:-II.-Romanze COL artist_l VAL Wolfgang Amadeus Mozart	COL TID_r VAL 5354 COL title_r VAL Concert for Harp & Flute, Andantino COL artist_r VAL Wolfgang Amadeus Mozart 	 0
COL TID VAL 32COL TID_l VAL 10568 COL title_l VAL Concerto-for-Piano-No.-20-in-D-minor,-K.-466:-II.-Romanze COL artist_l VAL Wolfgang Amadeus Mozart	COL TID_r VAL 9936 COL title_r VAL 010-Requiem in D minor, K. 626 (Levin completion): IVa. Offertorium: "Domine Jesu" COL artist_r VAL Wolfgang Amadeus Mozart 	 0
COL TID VAL 33COL TID_l VAL 7899 COL title_l VAL Abide With Me COL artist_l VAL Phil Keaggy	COL TID_r VAL 2441 COL title_r VAL We Three Kings of Orient Are - 25 Songs of Christmas COL artist_r VAL Phil Keaggy 	 0
COL TID VAL 34COL TID_l VAL 104 COL title_l VAL War (Art of War) COL artist_l VAL AG & Party Arty	COL TID_r VAL 104 COL title_r VAL War (Art of War) COL artist_r VAL AG & Party Arty 	 1
COL TID VAL 35COL TID_l VAL 1906 COL title_l VAL March (From Serenade for Wind Cello and Bass in D minor) (Morning March) COL artist_l VAL Antonín Dvořák	COL TID_r VAL 2021 COL title_r VAL Slawischer Tanz nr. 1: Furiant COL artist_r VAL Antonín Dvořák 	 0
COL TID VAL 36COL TID_l VAL 1906 COL title_l VAL March (From Serenade for Wind Cello and Bass in D minor) (Morning March) COL artist_l VAL Antonín Dvořák	COL TID_r VAL 208 COL title_r VAL Rusalka, op. 114 B203: Song to the moon (Act I) (100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances) COL artist_r VAL Antonín Dvořák 	 0
COL TID VAL 37COL TID_l VAL 9381 COL title_l VAL 009-Just You, Just Me COL artist_l VAL Sonny Stitt & Barry Harris	COL TID_r VAL 9381 COL title_r VAL 009-Just You, Just Me COL artist_r VAL Sonny Stitt & Barry Harris 	 1
COL TID VAL 38COL TID_l VAL 8883 COL title_l VAL 003-Mazliet parunat COL artist_l VAL Detlef	COL TID_r VAL 8883 COL title_r VAL 003-Mazliet parunat COL artist_r VAL Detlef 	 1
COL TID VAL 39COL TID_l VAL 14286 COL title_l VAL 004-Waterfront COL artist_l VAL Simple Minds	COL TID_r VAL 14286 COL title_r VAL 004-Waterfront COL artist_r VAL Simple Minds 	 1
COL TID VAL 40COL TID_l VAL 11214 COL title_l VAL 004-words of the mind brandnew ojurney (meet y friend mix) COL artist_l VAL m.o.v.e	COL TID_r VAL 11214 COL title_r VAL 004-words of the mind brandnew ojurney (meet y friend mix) COL artist_r VAL m.o.v.e 	 1
COL TID VAL 41COL TID_l VAL 12448 COL title_l VAL 003-Brandenburgisches Konzert Nr. 1 in F-Dur, BWV 1046: III. Allegro COL artist_l VAL Johann Sebastian Bach	COL TID_r VAL 9512 COL title_r VAL Johannes-Passion, BWV 245: "Und die Kriegsknechten flochten eine Krone" COL artist_r VAL Johann Sebastian Bach 	 0
COL TID VAL 42COL TID_l VAL 12448 COL title_l VAL 003-Brandenburgisches Konzert Nr. 1 in F-Dur, BWV 1046: III. Allegro COL artist_l VAL Johann Sebastian Bach	COL TID_r VAL 10977 COL title_r VAL Goldberg Variationen, BWV 988, Aria mit 30 Veranderungen 32 COL artist_r VAL Johann Sebastian Bach 	 0
COL TID VAL 43COL TID_l VAL 5633 COL title_l VAL 003-He Is My Everything COL artist_l VAL Elvis Presley	COL TID_r VAL 5633 COL title_r VAL 003-He Is My Everything COL artist_r VAL Elvis Presley 	 1
COL TID VAL 44COL TID_l VAL 5633 COL title_l VAL 003-He Is My Everything COL artist_l VAL Elvis Presley	COL TID_r VAL 12392 COL title_r VAL How Would You Like To Be COL artist_r VAL Elvis Presley 	 0
COL TID VAL 45COL TID_l VAL 5633 COL title_l VAL 003-He Is My Everything COL artist_l VAL Elvis Presley	COL TID_r VAL 2372 COL title_r VAL 019-Closing Riff / Special Message From Elvis' Father COL artist_r VAL Elvis Presley 	 0
COL TID VAL 46COL TID_l VAL 4707 COL title_l VAL 005-Traffic,City Medium City Traffic,Dry Road COL artist_l VAL Sound Ideas	COL TID_r VAL 11520 COL title_r VAL 002-Store, small - Small crowd, cash area COL artist_r VAL Sound Ideas 	 0
COL TID VAL 47COL TID_l VAL 18664 COL title_l VAL La flor de mi jardín - Nada sin ti COL artist_l VAL Tabú	COL TID_r VAL 10212 COL title_r VAL La flor de mi jardín COL artist_r VAL Tabú 	 1
COL TID VAL 48COL TID_l VAL 18897 COL title_l VAL I'm Not Ready for It, Jo COL artist_l VAL Moneybrother	COL TID_r VAL 18897 COL title_r VAL I'm Not Ready for It, Jo COL artist_r VAL Moneybrother 	 1
COL TID VAL 49COL TID_l VAL 3195 COL title_l VAL Sonate pour piano n°3 en Si mineur, Op. 58: I allegro maestoso (Intégrale de l'Œuvre) COL artist_l VAL Frédéric Chopin	COL TID_r VAL 2382 COL title_r VAL Sonate pour piano n°3 en Si mineur, Op. 58: I allegro maestoso COL artist_r VAL Frédéric Chopin 	 1
COL TID VAL 50COL TID_l VAL 11430 COL title_l VAL Slawischer Tanz nr. 1: Furiant (Classical Sampler) COL artist_l VAL Antonín Dvořák	COL TID_r VAL 2021 COL title_r VAL Slawischer Tanz nr. 1: Furiant COL artist_r VAL Antonín Dvořák 	 1
COL TID VAL 51COL TID_l VAL 11430 COL title_l VAL Slawischer Tanz nr. 1: Furiant (Classical Sampler) COL artist_l VAL Antonín Dvořák	COL TID_r VAL 208 COL title_r VAL Rusalka, op. 114 B203: Song to the moon (Act I) (100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances) COL artist_r VAL Antonín Dvořák 	 0
COL TID VAL 52COL TID_l VAL 10324 COL title_l VAL Concerto for Piano No. 17 in G major, K. 453 "Second Ployer": III. Allegretto & Finale. Presto COL artist_l VAL Wolfgang Amadeus Mozart	COL TID_r VAL 5354 COL title_r VAL Concert for Harp & Flute, Andantino COL artist_r VAL Wolfgang Amadeus Mozart 	 0
COL TID VAL 53COL TID_l VAL 10324 COL title_l VAL Concerto for Piano No. 17 in G major, K. 453 "Second Ployer": III. Allegretto & Finale. Presto COL artist_l VAL Wolfgang Amadeus Mozart	COL TID_r VAL 9936 COL title_r VAL 010-Requiem in D minor, K. 626 (Levin completion): IVa. Offertorium: "Domine Jesu" COL artist_r VAL Wolfgang Amadeus Mozart 	 0
COL TID VAL 54COL TID_l VAL 15426 COL title_l VAL I Started a Joke (King for a Day… Fool for a Lifetime) COL artist_l VAL Faith No More	COL TID_r VAL 18707 COL title_r VAL Gentle Art of Making Enemies (2009-06-10: The Second Coming : Brixton Academy, London, UK) COL artist_r VAL Faith No More 	 0
COL TID VAL 55COL TID_l VAL 937 COL title_l VAL nan COL artist_l VAL J.K. Rowling	COL TID_r VAL 16295 COL title_r VAL Kapitel 1-1: Das Haus der Ridldes COL artist_r VAL J.K. Rowling 	 0
COL TID VAL 56COL TID_l VAL 5183 COL title_l VAL Plain White Milk COL artist_l VAL Smartbomb	COL TID_r VAL 5183 COL title_r VAL Plain White Milk COL artist_r VAL Smartbomb 	 1
COL TID VAL 57COL TID_l VAL 12614 COL title_l VAL Don’t Be Afraid, You Have Just Got Your Eyes Closed (Finally We Are No One) COL artist_l VAL múm	COL TID_r VAL 12614 COL title_r VAL Don’t Be Afraid, You Have Just Got Your Eyes Closed (Finally We Are No One) COL artist_r VAL múm 	 1
COL TID VAL 58COL TID_l VAL 3478 COL title_l VAL Commodore Stain COL artist_l VAL The Broken Beats	COL TID_r VAL 7854 COL title_r VAL 007-Commodore Stain COL artist_r VAL The Broken Beats 	 1
COL TID VAL 59COL TID_l VAL 13028 COL title_l VAL 026-Die Entfuhrung aus dem Serail, KV 384 (Harmoniemusik): Allegro "Welche Wonne, welche Lust" COL artist_l VAL Wolfgang Amadeus Mozart	COL TID_r VAL 5354 COL title_r VAL Concert for Harp & Flute, Andantino COL artist_r VAL Wolfgang Amadeus Mozart 	 0
COL TID VAL 60COL TID_l VAL 13028 COL title_l VAL 026-Die Entfuhrung aus dem Serail, KV 384 (Harmoniemusik): Allegro "Welche Wonne, welche Lust" COL artist_l VAL Wolfgang Amadeus Mozart	COL TID_r VAL 9936 COL title_r VAL 010-Requiem in D minor, K. 626 (Levin completion): IVa. Offertorium: "Domine Jesu" COL artist_r VAL Wolfgang Amadeus Mozart 	 0
COL TID VAL 61COL TID_l VAL 17475 COL title_l VAL Schöner Aschenbecher COL artist_l VAL NMZS & Danger Dan	COL TID_r VAL 17073 COL title_r VAL Schöner Aschenbecher COL artist_r VAL NMZS & Danger Dan 	 1
COL TID VAL 62COL TID_l VAL 2128 COL title_l VAL Lost Highway COL artist_l VAL The Osborne Brtohers	COL TID_r VAL 2128 COL title_r VAL Lost Highway COL artist_r VAL The Osborne Brtohers 	 1
COL TID VAL 63COL TID_l VAL 13708 COL title_l VAL 009-Time Won't Laet Me COL artist_l VAL The Outsiders	COL TID_r VAL 13708 COL title_r VAL 009-Time Won't Laet Me COL artist_r VAL The Outsiders 	 1
COL TID VAL 64COL TID_l VAL 4511 COL title_l VAL Made Love (Platinum & Gold Collection) COL artist_l VAL Alabama	COL TID_r VAL 4511 COL title_r VAL Made Love (Platinum & Gold Collection) COL artist_r VAL Alabama 	 1
COL TID VAL 65COL TID_l VAL 6651 COL title_l VAL 大切なクラスメイト - めちゃモテ委員長 めちゃヒット曲集① COL artist_l VAL [unknown]	COL TID_r VAL 8796 COL title_r VAL 땡그랑 한푼 - 골든벨동요 (Goldenbell Children's Songs) COL artist_r VAL [unknown] 	 0
COL TID VAL 66COL TID_l VAL 6651 COL title_l VAL 大切なクラスメイト - めちゃモテ委員長 めちゃヒット曲集① COL artist_l VAL [unknown]	COL TID_r VAL 8975 COL title_r VAL 013 COL artist_r VAL [unknown] 	 0
COL TID VAL 67COL TID_l VAL 6651 COL title_l VAL 大切なクラスメイト - めちゃモテ委員長 めちゃヒット曲集① COL artist_l VAL [unknown]	COL TID_r VAL 9101 COL title_r VAL Bewitched (Ultimate TV Themes) COL artist_r VAL [unknown] 	 0
COL TID VAL 68COL TID_l VAL 9051 COL title_l VAL Alla Turca COL artist_l VAL Wolfgang Amadeus Mozart	COL TID_r VAL 5354 COL title_r VAL Concert for Harp & Flute, Andantino COL artist_r VAL Wolfgang Amadeus Mozart 	 0
COL TID VAL 69COL TID_l VAL 9051 COL title_l VAL Alla Turca COL artist_l VAL Wolfgang Amadeus Mozart	COL TID_r VAL 9936 COL title_r VAL 010-Requiem in D minor, K. 626 (Levin completion): IVa. Offertorium: "Domine Jesu" COL artist_r VAL Wolfgang Amadeus Mozart 	 0
COL TID VAL 70COL TID_l VAL 12883 COL title_l VAL 005-Every Work of Art is an Crime COL artist_l VAL Brian J. Davis	COL TID_r VAL 1990 COL title_r VAL Every Work of Art is an Uncommitted Crime COL artist_r VAL Brian J. Davis 	 1
COL TID VAL 71COL TID_l VAL 352 COL title_l VAL The_Paris_Sisters_-_I_Love_How_You_Love_Me COL artist_l VAL unknown	COL TID_r VAL 15190 COL title_r VAL 001-Shakey Breaky Car COL artist_r VAL unknown 	 0
COL TID VAL 72COL TID_l VAL 347 COL title_l VAL Images (Ultimate Nina Simone) COL artist_l VAL Nina Simone	COL TID_r VAL 309 COL title_r VAL 006-Saratoga COL artist_r VAL Nina Simone 	 0
COL TID VAL 73COL TID_l VAL 18981 COL title_l VAL 003-Triple Concerto for Violin, Cello & Piano in C major, op. 56: III. Rondo all polacca COL artist_l VAL Ludwig van Beethoven	COL TID_r VAL 9089 COL title_r VAL Quartet for 2 Violins, Viola, and Cello No. 14 in C-sharp minor, Op. 131: VI. Adagio quasi un poco andante - The Late String Quartets Nos. 12-16 (Lindsay String Quartet) COL artist_r VAL Ludwig van Beethoven 	 0
COL TID VAL 74COL TID_l VAL 18981 COL title_l VAL 003-Triple Concerto for Violin, Cello & Piano in C major, op. 56: III. Rondo all polacca COL artist_l VAL Ludwig van Beethoven	COL TID_r VAL 483 COL title_r VAL Symphonie No. 6 en fa majeur, Op. 68 "Pastorale": V. Allegretto: Chant des bergers. Sentiments joyeux et reconnaissants après l'orage - Ses 100 chefs-d'œuvre COL artist_r VAL Ludwig van Beethoven 	 0
COL TID VAL 75COL TID_l VAL 929 COL title_l VAL I Should Have Caught My Heart Before It Fell - Completely Live COL artist_l VAL Larry Dean	COL TID_r VAL 929 COL title_r VAL I Should Have Caught My Heart Before It Fell - Completely Live COL artist_r VAL Larry Dean 	 1
COL TID VAL 76COL TID_l VAL 16689 COL title_l VAL Role Reversal Interlude - Immediate Action COL artist_l VAL Sagittarian Burners	COL TID_r VAL 15955 COL title_r VAL 003-Role Reversal Interlude COL artist_r VAL Sagittarian Burners 	 1
COL TID VAL 77COL TID_l VAL 3269 COL title_l VAL Pinball (One Hit Wonders) COL artist_l VAL Brian Protheroe	COL TID_r VAL 3140 COL title_r VAL Pinball - One Hit Wonders COL artist_r VAL Brian Protheroe 	 1
COL TID VAL 78COL TID_l VAL 7812 COL title_l VAL Rastaman Vibration COL artist_l VAL Bob Marley & The Wailers	COL TID_r VAL 668 COL title_r VAL Rastaman Vibration (Independent Zimbabwe 1980-04-1) COL artist_r VAL Bob Marley & The Wailers 	 1
COL TID VAL 79COL TID_l VAL 16120 COL title_l VAL SINGLE JACK HAMMER, AMBIENCE, CONSTRUCTION COL artist_l VAL Sound Ideas	COL TID_r VAL 11520 COL title_r VAL 002-Store, small - Small crowd, cash area COL artist_r VAL Sound Ideas 	 0
COL TID VAL 80COL TID_l VAL 10819 COL title_l VAL Take Me to the River - Compact Command Performances: 14 Greatest Hits COL artist_l VAL Al Green	COL TID_r VAL 11681 COL title_r VAL Here I Am (Come and Take Me) - The Definitive Greatest Hits COL artist_r VAL Al Green 	 0
COL TID VAL 81COL TID_l VAL 10819 COL title_l VAL Take Me to the River - Compact Command Performances: 14 Greatest Hits COL artist_l VAL Al Green	COL TID_r VAL 17990 COL title_r VAL 012-Take Me to the River COL artist_r VAL Al Green 	 1
COL TID VAL 82COL TID_l VAL 10819 COL title_l VAL Take Me to the River - Compact Command Performances: 14 Greatest Hits COL artist_l VAL Al Green	COL TID_r VAL 3663 COL title_r VAL 005-How Can You Mend a Broken Heart COL artist_r VAL Al Green 	 0
COL TID VAL 83COL TID_l VAL 1053 COL title_l VAL 002-Login (Self Destruct) COL artist_l VAL Manifesto	COL TID_r VAL 7451 COL title_r VAL Login (Self Destruct) - Once Upon a Tme in the Land of Cyberspace COL artist_r VAL Manifesto 	 1
COL TID VAL 84COL TID_l VAL 2320 COL title_l VAL God and Satan COL artist_l VAL Biffy Clyro	COL TID_r VAL 2320 COL title_r VAL God and Satan COL artist_r VAL Biffy Clyro 	 1
COL TID VAL 85COL TID_l VAL 4259 COL title_l VAL Special Megamix D.Trance 28, Track 08 COL artist_l VAL Gary D.	COL TID_r VAL 4259 COL title_r VAL Special Megamix D.Trance 28, Track 08 COL artist_r VAL Gary D. 	 1
COL TID VAL 86COL TID_l VAL 13800 COL title_l VAL Etude, Op. 25 No. 2 ni F minor - Etude op. 10 / op. 25 COL artist_l VAL Frédéric Chopin	COL TID_r VAL 2382 COL title_r VAL Sonate pour piano n°3 en Si mineur, Op. 58: I allegro maestoso COL artist_r VAL Frédéric Chopin 	 0
COL TID VAL 87COL TID_l VAL 11681 COL title_l VAL Here I Am (Come and Take Me) - The Definitive Greatest Hits COL artist_l VAL Al Green	COL TID_r VAL 11681 COL title_r VAL Here I Am (Come and Take Me) - The Definitive Greatest Hits COL artist_r VAL Al Green 	 1
COL TID VAL 88COL TID_l VAL 11681 COL title_l VAL Here I Am (Come and Take Me) - The Definitive Greatest Hits COL artist_l VAL Al Green	COL TID_r VAL 17990 COL title_r VAL 012-Take Me to the River COL artist_r VAL Al Green 	 0
COL TID VAL 89COL TID_l VAL 11681 COL title_l VAL Here I Am (Come and Take Me) - The Definitive Greatest Hits COL artist_l VAL Al Green	COL TID_r VAL 3663 COL title_r VAL 005-How Can You Mend a Broken Heart COL artist_r VAL Al Green 	 0
COL TID VAL 90COL TID_l VAL 12492 COL title_l VAL Möss och människor - Allans allra bästa COL artist_l VAL Allan Edwall	COL TID_r VAL 14337 COL title_r VAL Möss och människor COL artist_r VAL Allan Edwall 	 1
COL TID VAL 91COL TID_l VAL 16059 COL title_l VAL Maziet parunāt COL artist_l VAL Detlef	COL TID_r VAL 8883 COL title_r VAL 003-Mazliet parunat COL artist_r VAL Detlef 	 1
COL TID VAL 92COL TID_l VAL 2021 COL title_l VAL Slawischer Tanz nr. 1: Furiant COL artist_l VAL Antonín Dvořák	COL TID_r VAL 2021 COL title_r VAL Slawischer Tanz nr. 1: Furiant COL artist_r VAL Antonín Dvořák 	 1
COL TID VAL 93COL TID_l VAL 2021 COL title_l VAL Slawischer Tanz nr. 1: Furiant COL artist_l VAL Antonín Dvořák	COL TID_r VAL 208 COL title_r VAL Rusalka, op. 114 B203: Song to the moon (Act I) (100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances) COL artist_r VAL Antonín Dvořák 	 0
COL TID VAL 94COL TID_l VAL 8908 COL title_l VAL Casablanca - Cylassic Music Guropean B COL artist_l VAL maXdion	COL TID_r VAL 5401 COL title_r VAL Casablanca (Classic Music Guropean B) COL artist_r VAL maXdion 	 1
COL TID VAL 95COL TID_l VAL 5618 COL title_l VAL 013-Aria: Ach, meinn Sinn COL artist_l VAL Johann Sebastian Bach	COL TID_r VAL 9512 COL title_r VAL Johannes-Passion, BWV 245: "Und die Kriegsknechten flochten eine Krone" COL artist_r VAL Johann Sebastian Bach 	 0
COL TID VAL 96COL TID_l VAL 5618 COL title_l VAL 013-Aria: Ach, meinn Sinn COL artist_l VAL Johann Sebastian Bach	COL TID_r VAL 10977 COL title_r VAL Goldberg Variationen, BWV 988, Aria mit 30 Veranderungen 32 COL artist_r VAL Johann Sebastian Bach 	 0
COL TID VAL 97COL TID_l VAL 8981 COL title_l VAL 017-Lazy Rhapsody (alternate take B) COL artist_l VAL Duke Ellington & His Orchestra	COL TID_r VAL 6229 COL title_r VAL Serious Serenade - The Best of Duke Ellington COL artist_r VAL Duke Ellington & His Orchestra 	 0
COL TID VAL 98COL TID_l VAL 11632 COL title_l VAL Ziondab COL artist_l VAL La Golden Acapulco	COL TID_r VAL 11632 COL title_r VAL Ziondab COL artist_r VAL La Golden Acapulco 	 1
COL TID VAL 99COL TID_l VAL 9977 COL title_l VAL Harlem Rhythm Dance - The Chronological Classics: Herman Chittison 1933-1941 COL artist_l VAL Herman Chittison	COL TID_r VAL 11923 COL title_r VAL Harlem Rhythm Dance (The Chronological Classics Herman Chittison 1933-1941) COL artist_r VAL Herman Chittison 	 1
COL TID VAL 100COL TID_l VAL 4463 COL title_l VAL 011-Fuck What You Heard COL artist_l VAL DJ Outblast	COL TID_r VAL 4463 COL title_r VAL 011-Fuck What You Heard COL artist_r VAL DJ Outblast 	 1
COL TID VAL 101COL TID_l VAL 8680 COL title_l VAL Jamboree COL artist_l VAL Barbarian on the Groove	COL TID_r VAL 8680 COL title_r VAL Jamboree COL artist_r VAL Barbarian on the Groove 	 1
COL TID VAL 102COL TID_l VAL 4967 COL title_l VAL Roots Bloody Roots COL artist_l VAL Sepultura	COL TID_r VAL 4967 COL title_r VAL Roots Bloody Roots COL artist_r VAL Sepultura 	 1
