TID,CID,CTID,title,artist
155,76,1,Skit (Spürma (Puuhamaa skit)) (Runoja kontrollihuoneesta),Steen1
156,77,1,Bloque Metafísico: La proporción y las distancias,Macromassa
157,78,1,Chut,Frederica von Stade
158,79,1,Oilean Draiochta,Melanie O'Reilly
159,7682,2,Explanation,Abstract Tribe Unique
160,4093,3,Full Force - Let's Dance Against the Wall,
161,80,1,Haste Suraj Ki - Dil Ka Rishta,Nadeem-Shravan
162,9,3,Particle/Wave (Evolver),Lunchbox
163,81,1,You (Russian Doll),Violet Indiana
164,6936,2,Loona - Rhythm of the Night,
165,4811,3,Deja-Move - Ways to Go,
166,82,1,Jacques Brel - Marieke,
167,8591,2,VS. X-C alibur,The DJ's Project
168,83,1,Van mij kan je de pot op,Lowland Trio
169,4085,2,"Reboelje - It famke, de hûn en de houtkapper",
170,84,1,Megna's (Chameleon),Tim O’Brien
171,7453,2,Price of Time,Domain
172,85,1,011-You're the Only Good Thing (That's Happened to Me),Jim Reeves
173,86,1,According to Me,Mind the Gap
174,8956,2,Won't Be Long - The Best of Tracy Nelson & Mother Earth,Tracy Nelson
175,87,1,006-Nightline,Randy Crawford
176,88,1,Hymn 48 (Jesus Is King) - Cherokee Sunday Morning,Cherokee National Youth Choir
177,5278,5,Perdimos algo - Canciones inéditas,Cecilia
178,1607,4,BUCK-TICK - LOVE ME,
179,89,1,Sunday on My Mind (original mix),Daniel Stefanik
180,673,2,Plump DJs - Acid Hustle,
181,90,1,Eight Pieces for Flute Alone -- Rezitativ,unk.
182,5955,4,011- ,
183,3379,3,Voodoo Lovers (Hurricäde),Hurricäde
184,91,1,We Are the Prisoners (Anthology),Kids
185,6185,2,026-Control,Disclosure feat. Ria Ritchie
186,2544,3,Concerto in G: I. Allegro ma non troppo,Antonio Piacentino BRomano
187,92,1,Caedmon's Call - There's Only One (Holy One),
188,93,1,Endless Winter,Marconi Union
189,6045,2,001-One Day (Live),Caro Emerald
190,94,1,Too Far Gone,The All‐American Rejects
191,95,1,"Slow, Loud and Bangin' (S.L.A.B.ed) - Slow, Loud and Bangin', Volume 4","Trae, Jay'Ton, Lil' B, Lil Boss, Billy Cook, Big Bee, Billy, Kepoe & Lil' T"
192,96,1,Junior Crehan's / Junior Crejan's (flings),The Mulcahy Family
193,1728,2,Watermusic Suite: Adagio e staccato (Watermusic Suite / Music of the Royal Fireworks),George Frideric Handel
194,97,1,We  All Need Some Light,Transatlantic
195,8958,2,Heli Deinboek -O berwart (Birmingham),
196,1764,2,Nattestid ser porten vid 1 (Nattestid…),Taaake
197,98,1,Xalm Retribution - Illusion of Love,
198,99,1,Closing - Urban Mantra,Wah!
199,100,1,Astronomy Domine - The Piper at the Gates of Dawn,Pink Floyd
200,101,1,F004-Jouluohtu motisklus,Kadri Savva
201,6718,2,Ritardo mestruale (...Se non avrei fatto il cantande),Checco Zalone
202,3925,2,Родина,"Ольга Арефьева и группа ""Ковчег"""
203,102,1,"Symphonie Nr. 10 G-dur, KV 74: I. Allegro (Frühe Symphonien)",Wolfgang Amadeus Mozart
204,103,1,Je me rappelle d’une époque - Suicide commercial,Vrai Ben feat. Yahlane
205,8719,2,Adhan Calling,Giles Perring & Edwards
206,8499,5,Las batallas,Café Tacvba
207,9018,2,007-Someone So Young,Coke Weed
208,104,1,"Rusalka, op. 114 B203: Song to the moon (Act I) (100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances)",Antonín Dvořák
209,9275,4,Amanhã Vazio (Nosso Amor Já Era),Hugo Pena & Gabriel
210,105,1,016-Red-naped Sapsucker / Red-breasted Sapsucker,Donald & Lillian Stokes with Kevin Colver
211,106,1,Satellites & Sirens - Magnetic,
212,107,1,Black Tape for a Blue Girl - We Watched Our Sad-Eyed Angel Fall,
213,1246,3,Stark,VLE
214,108,1,007-When You're Smiling at Me,Sly Blue
215,109,1,Echo Elephant,Luna Negra
216,1659,3,"003SonataforpianoNo.1inFminor,Op2No.1:III.Menuetto:Allegretto",Ludwig van Beethoven
217,5439,2,Count Every Star - Jazz Chillout,Grant Green
218,110,1,Stars Are Blind (The Scumfrog's extreme makeover),Paris Hilton
219,111,1,When the Summer Is Gone - I Can Jive - Det Bästa Med Jerry Williams,Jerry Williams
220,112,1,012-Always on Time,Ja Rule feat. Ashanti
221,113,1,Patio Smasher,Dirty South
222,114,1,Rockin' Back Inside My Heart - Floating Into the Night,Julee Cruise
223,6366,2,Spike Jones New Band - The Gow Worm,
224,115,1,"Arabella, Op. 79: Act II. ""Sie sehn nicht aus wie jemand"" - Arabella (Wiener Philharmoniker feat. conductor: Sir Georg Solti, soprano: Lisa della Casa)",Richard Strauss
225,116,1,Ultimate Angels (The Distance Between),Strange Advance
226,9771,2,Ein neuer Tanz,Jäger 90
227,117,1,Three O'Clock in the Morning,Dexter Gordon
228,118,1,031-,
229,119,1,Mennen - Power to the Bone,
230,120,1,What Is This Thing Called Love? - Cutting Edge 1 & 2,Delirious?
231,9612,3,I_Always_Was_Your_Girl_-_Idlewild,Everything but the Girl
232,9312,3,001-Carpathian Ridge,Michael Andrews
233,121,1,Unde rthe Sun - Modern,Buzzcocks
234,9276,2,Splinterskin - Dancing Dead Men,
235,7328,2,Fall of Envy - Failure,
236,122,1,Pout-Porri: Inigualável Paixão/Falsa Consideração,Art Popular
237,5448,4,Neil Biggin - Chile,
238,123,1,The Way We Get By - The O.C. - The Best of Season 1,Spoon
239,6406,3,Pride (A Love) Deeper,Barefoot
240,8833,3,Laß mich allein allein - Frisch gepresst & Live,Jazzkantine
241,124,1,008-Histoire De Famille,Dany Bedar
242,125,1,G.Rag y los Hermanos Patchekos - Blechernes G'lächter,
243,126,1,Ludwika: Prélude Opus 28 No.23 - The Four Elements: Water Sensuality,Hans Visser
244,127,1,018-Daydream Believer,The Residents
245,2438,2,013-What Time Was Love,The KLF
246,128,1,The O'Jays - Let Me Make Love to You,
247,9657,5,Wicked Horse - Mercy Lnd,Sea Lion
248,129,1,If There Is No Tomorrow (remixed by CygnosiC) - The Grey Line,Wynardtage
249,130,1,Malce It Happen,The Get Set
250,131,1,Tuuli,Skädmä
251,8907,2,Monkey Mike - Game Plan,Dubee & Mike D
252,132,1,Sylvania,Kelpe
253,133,1,Ghosttow - The Hearing and the Sense of Balance,Fury in the Slaughterhouse
254,7145,2,I Don't Want to Say Goodbye (Sing the Very Best of Wendy Craig),Fat and Frantic
255,3439,2,002-Ogunde / Margeritelek,Davaiciass TMC
256,134,1,Helb America,Dan Bárta
257,135,1,Mad Props - My Ding-A-Ling,
258,8649,2,Из далеких из краев,Песняры
259,136,1,Λαβωματιά (Στην ηχώ του έρωτα),Νότης Μαυρουδής
260,137,1,On the Stairs - The Killer Elite,Jerry Fielding
261,1459,2,Quest - T Dredz+,Dredz T
262,138,1,On a Clear Day (Kiki's Delivery Service)),久石譲
263,139,1,Vergeet Het Maar - De Kreuners,De Kreuners
264,140,1,Patricia Cornwell - 30 Knochenbett,
265,141,1,002-Abie Stracie,Like a Tim
266,7588,4,Rompecabezas,Kapanga
267,8882,2,Was wichtig ist: Da Capo,Udo Jürgens
268,142,1,kanashimi wo koete - D.N.Angel Original Soundtrack I,江口貴勅
269,1183,2,Sigonella - Ho sognato una strada,Ivano  Fossati
270,143,1,If - Tesla,Silver Rocket
271,185,3,'s Wonderful,Sarah Vaughan
272,144,1,On the Bank,Rude-Rich-and-the-High-Notes
273,9383,3,Origines (Raï'n'b Fever 3),Mélissa M & Amine
274,1688,2,Duel in the Sun - The Alamo: The Essential Film Music Collection,Dimitri Tiomkin
275,5309,3,Evil Evol (Positivity),Power of Dreams
276,145,1,Dubok - Immersed,
277,1794,5,Oliver F. Koelling - Psycho & Horror: Vertigo Groove (30 second version),
278,146,1,Iyole (Afrique Dynamique),Kanda Bongo Man
279,3976,2,"A Vava Inouva 2 - Deux rives, un rêve",Idir
280,147,1,(Watch Out for) The Normal People - A Tonic for the Troops,English
281,148,1,Du finns hos mig - Kollektion,Ratata
282,149,1,September in the Rain - The Ralph Sharon Trio Plays the Harry Warren Songbook,Ralph Sharon Trio
283,150,1,Rick White Album - Its Time Has Come,
284,5987,4,0B2-Don't Burn the Fires,Dead Moon
285,7690,3,I Can't Get Started - Autumn in New York: Vernon Duke's Broadway,lea Blackhurst
286,151,1,"György Kurtág - Quartetto Per Archi, Op. 1: III. Vivacissimo: lento",
287,152,1,Don't Dream It's Over,Sixpence None the Richer
288,8867,3,#9,BEAT-CRUSADERS
289,4748,3,Fussin' and Fighting,Bob Marley & The Wailers
290,153,1,CC Rider (Bare Tracks),Honeyboy Hickling
291,154,1,"It's All Too Much (mono) - vEery Little Thing, Volume 2",Beatles
292,9624,2,Katy Moffatt - Miss Otis Regrets,
293,155,1,Jewel Thief - Jewel Thief / Flyer Manz,Sukh Knight
294,156,1,Michel Sardou - Le Surveillant général,
295,4989,2,"Antares - Time Changes, Times Change",Jim Norman/Grafite
296,157,1,005-Beni Derde Salan Gelsin,Musa Eroglu
297,5712,2,Nav' Nav' in Ou Wells),Drudkh
298,1813,2,Voit pois jo mennä... - Lauluja,Marita Antsola
299,8855,3,Sing Along - Home This Year,Virginia Coalition
300,158,1,Saturrne,Georges Brassens
301,159,1,Max Greger & His Orchestra - Somewhere Over the Rainbow,
302,2293,3,Vengo a Dicer (Vengo a Decir),Andy
303,160,1,012-Under th eTop,Elliot Goldenthal
304,161,1,ピンぼけ (渋滞ぬけみちなし),高田梢枝
305,7704,3,Fui un extraño - Alianza,Alianza
306,162,1,"A Wand'ring Minstrel I, From ""The Mikado""",Sir William Gilbert & Sir Arthur Sullivan
307,163,1,Held Hostage,The Las Resort
308,5126,3,Tô Com Saudade - Uma História Assim (Ao Vivo),Rodriguinho
309,6556,3,006-Saratoga,Nina Simone
310,164,1,We R Who We R,Keha
311,1658,2,If I Gave My Heart to You / Once in a While / Ebb Tide / The Lamp Is Low / Where Are You / Thinking of You (30 by Ella),Ella Fitzgerald
312,165,1,Domenico Scarlatti - Concerto in FaM a tre flauti e basso - 2. Allegro,
313,9778,3,005-Mechanical Advantage,Deepspace 5
314,166,1,In My Lifetime (My Promise to the Game in My Lifetime),Soulja Flow
315,167,1,"013-Act 2, Scene III: Recitativo - Voi quel folgio lasciate (Serse/Atalanta)",Georg Friedrich Handel
316,168,1,"Diamond Head (History of Michigan Garage Bands in the 60's, Volume 1: Wheels 4: Label Story)",Lost Souls
317,3006,2,Halelujá,Jaromír Nohavica
318,169,1,"Gorrendously Mutilated (BBestial Machinery Discography, Volume 1)",Agoraphobic Nosebleed
319,7921,5,"005-Kantate, BWV 4 ""Christ lag in Todesbanden"": V. Coro Versus IV ""Es war ein wunderlicher Krieg""",Johann Sebastian Bach
320,170,1,007-Yer Blooze,The Loungs
321,9029,2,018-Little Bird,The Nashville Teens
322,171,1,Ya están aquí (Libertad / Hambre / Historia),Hablando en Plata Squad
323,3848,3,One More Time (Karneval),Crystal Gayle
324,6523,2,008-L.A. Song,Mohair
325,9981,2,001-Self Preservation,Kutt Calhoun feat. Krizz Kaliko
326,7478,3,004-Schwarze Lande,Amber und Gefahrten
327,172,1,Perdóname - Motivando a la yal,Zion y Lennox
328,173,1,Let's Do It (Let's Fall in Love) - Midnight in Paris: Music From the Motion Picture,Conal Fowkes
329,3229,5,Makin' Out With Granny,Falling Mirror Mirror
330,719,4,FUU... (GAME OVER) - MEGA DRIVE LAST ACTION HEROES,幡谷尚史
331,1034,2,"[silence] (Monsters, Lullabies ... and the Occasional Flying Saucer)",Phono-Comb & Jad Fair
332,174,1,Eurooppa 3 - Oppia rakastamaan,
333,175,1,Geltendes Recht - Projekt Aaskereia,Projekt Aaskereia
334,3554,3,002-The Driving Blues,RogeGr Manning
335,3136,2,"Chris Liberator, KN, DJ Cunt, DJ Cydeboard & DJ 2003 - Classic Silvermin",
336,4344,3,Billie Jean (Dancemania BASS #6),XL Dog
337,1661,2,"(feat. (feat. DJ OASIS, 童子-T) - 理由",K Dub Shine
338,176,1,Life es corta,Látex
339,9366,2,"Requiem in D minor, K. 626 (Levin completion): IVa. Offertorium: ""Domine Jesu"" - Requiem & Kyrie D-Moll (Gächinger Kantorei Stuttgart, Bach-Collegium Stuttgart feat. conductor: Helmuth Rilling)",Wolfgang Amadeus Mozart
340,177,1,Sunflower (His Greatest Hits),Glen Campbell
341,8751,3,The Bensons - The Amazing Adventures of Monkey Roodle Ray,
342,3815,4,002-Married Woman Blues,Jimmy Johnson
343,9656,2,Paolo Fresu / Tutto E Il Contrario Di Tutto - Mélos,Paolo Fresu Quintet
344,178,1,Ooh La La (Stay With Me: Faces Anthology),Faces
345,5261,2,"Lugen, die von Herzen kommen (feat. narrator Mirja Bos) (2008)",Kerstin Gier
346,179,1,Il Dorment - frannce,Altar K
347,180,1,Images (Ultimate Nina Simone),Nina Simone
348,181,1,Georges Brassens - Le Vent,
349,8250,2,Mikko Siltala & Pasi Vainionperä - Sielussani hiljaisuus,
350,182,1,004-Looking for Lives,Timothy James Meaney
351,6662,2,The Rose and the Cross - Moog Indigo,Jean-Jcques Perrey
352,183,1,The_Paris_Sisters_-_I_Love_How_You_Love_Me,unknown
353,184,1,Symphonie No. 9: IV. Allegro con fuoco (Antonín Dvořák: Symphony No. 9 / Bedřich Smetana: Die Moldau (Berliner Philharmoniker & Boston Symphony Orchestra)),Antonín Dvořák
354,655,2,001-Why Did They Sell Killarney?,Joseph . Natus
355,9217,4,The Triffids - Jerdacuttup Man,
356,185,1,'s Wonderful - Great Ladies and Gents of Jazz,Sarah Vaughan
357,186,1,004-Toxic Jesus,Skorbut
358,187,1,Legacy in Glass,Raygun Ballet
359,6060,4,So in Love With You - Share Your Love,Kenny Rogers
360,188,1,Harp Glissando (h),Jim Rattigan
361,189,1,Brass Flutter Wop - Production Tools 1,Lisle Moore
362,2941,2,Main Title (Alice in Wonderland),Sammy Fain
363,190,1,Mikelote & Pipa -- Gusanos,
364,1923,4,011-Angel of Harlem,U2
365,191,1,Mökit nukkuu lumiset (Joulu),Sakari Kukko
366,9091,3,Angels Guard Thee - The Essential Dyke,Black Dyke Band
367,8147,2,Super Bolid,Jesus Raves
368,192,1,001-Nineteen Ninety Seven,Hypoetical
369,193,1,Pimpadelic - 5 sec silence,
370,194,1,Σωκράτης Μάλαμας - Μιά βόλτα στα βαθιά,
371,195,1,003-It's All Over,Reckless Kelly
372,196,1,Ernesto Tagliaferri - Mandulinata a Napoli,
373,7261,3,Brian Protheroe - Pinball,
374,197,1,Alkohol,Christian Hölbling
375,6747,2,Vangelis - Conquest of Paradise,
376,198,1,Genlog - Mock Moon (Erik Vee remix),
377,199,1,Perfect Spot (Jason Manns),Jason Manns
378,200,1,006-Woman's Work,Tracy Chapman
379,282,2,Almost Like Being in Love - The Chronological Classics: Charlie Parker 1952-1954,Charlie Parker
380,201,1,"Johann Sebastian Bach - Doppelkonzert für 2 Violinen und Orchester D-Moll BWV 1043 (Largo Ma Non Tanto) (J. Brezina, F. Elias, Soloviolinen Carmerata Romana feat. conductor: Eugen Duvier)",
381,6608,5,3 Sided Light,Solillaquists of Sound
382,202,1,There's a Drill Sergeant There (Marching Cadences of the U.S. Army Infantry),Sun Harbor's Chorus
383,3296,2,Prelude et fugue BWV 887 (Clavier bien tempéré),Johann Sebastian Bach
384,203,1,Apopocalyps - Flickorna i Våran Stad,
385,204,1,"Hans Pfitzner - Palestrina: II. Akt, V. Szene ""Darf ich die Frage stellen, warum nicht nach der Reih""",
386,205,1,Henny Arve - Data Leaks: Jungle of Corruption (30 second version),
387,3990,2,On Inc. - Sammin' Indian,
388,206,1,Seeed - Pressure,
389,207,1,Imperial March (Simon Preston),Sir Edward Elgar
390,3774,2,"Life, Luv, and Pain - Stray Bullets",Sick Jacken feat. Young Sicc
391,208,1,2NU - This Is Ponderous (remix),
392,209,1,Fire Trees (Voices of the World),Chris Gibbons
393,210,1,"Take Away Your Rosy Lips (Gonna Rock 'n' Roll, Gonna Dance All Night)",Hardrock Gunter
394,6720,2,"Four Songs, Op. 13 No. 3 ""Sure on This Shining Night"" - Dover Beach (Endellion String Quartet feat. baritone: Thomas Allen, piano: Roger Vignoles)",Samuuel Barber
395,5480,2,013-Dead Leg (Beautiful Ones - four track demo),Suede
396,211,1,Get Under It,Robert Pollard
397,212,1,Tomi Metsäketo & Johanna Kurkela - Tahdon tanssia kanssasi,
398,1348,2,004-Water Song,Hot Tuna
399,213,1,Tina May & Tony Coe - April in Paris,
400,177,3,Sunflower - His Greatest Hits,Glen Campbell
401,214,1,Nada,Robert Rich
402,215,1,Faith and the Muse - The Silver Circle,
403,216,1,004-Love & Peace = ,
404,2333,2,011-Wenn du gehst,wingenfelder:Wingenfelder
405,9706,3,Funkytown (Absolute Disco: Alle Tiders Største Disco Hits),"Lipps, Inc."
406,217,1,Misty Space (Ninni Morgia Control Unit),Ninni Morgia
407,218,1,006-Adeptus Satanicus,Manufacturer's Pride
408,6062,3,Peter en de Wolf,Сергей Сергеевич Прокофьев
409,8441,2,004-Thank You,Miami Saxophone Quartet
410,219,1,Polifónica Turolense - Kyrie (Orbis factor),
411,220,1,From Your Place on Sunset,Low
412,1682,2,Manfred Maurenbrecher - Der Weg ist lang,
413,221,1,Robots in Disguise - Turn It Up,
414,2545,3,Shotput - Psycho-Acoustic,Elliott Sharp & Zeena Parkins
415,3985,2,Tourist Trail - Sports / Rock / Action,Kevin Jarvis
416,8975,3,011-Blood and Sand,Bell mer Dolls
417,222,1,006-Where the Girls Are,Billy Crurington
418,3316,2,013-Heartless,Heart
419,5894,2,Päivä kerrallaan (Patentoitu),Pate Mustajärvi
420,223,1,Turning (Fathom),Glass America
421,5919,2,006-Ilk Nurumsun (Haram),Kibariye
422,224,1,Bust the World - Headquarter Blues,Bill Black
423,3132,4,Tecumseh Valley (Train a Comin’),Steve Earle
424,4806,2,Gravy (Antranig remix) (Big City Beats 16),Ministers De La Funk
425,225,1,Time for Pepper - The Impossibility of Silence,Black Sun Productions
426,226,1,Desafinado - The Muse Of Bossa Nova,Nara Leão
427,227,1,Dr. Feelgood - I Can Tell (live),
428,970,3,Ciclo - Pasión,
